1:ItNr	2:Metric	3a:Time	3b:StepSize	4:||Gradient||	Time[ms]
0	-0.106797	0.000000	221.573276	0.001260	30.6
1	-0.099838	0.000000	221.573276	0.000477	0.9
2	-0.101884	0.126479	220.246773	0.000929	0.8
3	-0.096475	0.047930	221.068718	0.001424	0.8
4	-0.097659	0.000000	221.573276	0.001388	0.9
5	-0.094985	0.000000	221.573276	0.000753	0.9
6	-0.099708	0.000000	221.573276	0.001019	0.8
7	-0.096436	0.000000	221.573276	0.001528	0.8
8	-0.114026	0.000000	221.573276	0.001622	0.8
9	-0.106245	0.000000	221.573276	0.000593	0.8
10	-0.098044	0.000000	221.573276	0.001026	0.8
11	-0.104200	0.000000	221.573276	0.001359	0.8
12	-0.109150	0.000000	221.573276	0.000376	0.8
13	-0.106408	0.038407	221.168777	0.001555	0.8
14	-0.100481	0.029477	221.262701	0.000930	0.8
15	-0.100901	0.000000	221.573276	0.000851	1.0
16	-0.105286	0.000000	221.573276	0.000899	0.9
17	-0.098330	0.076093	220.773306	0.000789	0.9
18	-0.099157	0.000000	221.573276	0.001585	0.9
19	-0.099192	0.000000	221.573276	0.001135	0.8
20	-0.106165	0.000000	221.573276	0.001798	0.8
21	-0.100833	0.592239	215.495890	0.001083	0.8
22	-0.106018	0.121855	220.294993	0.000446	0.8
23	-0.101530	0.000000	221.573276	0.001133	0.9
24	-0.103877	0.000000	221.573276	0.000745	0.9
25	-0.098139	0.000000	221.573276	0.000829	0.8
26	-0.091183	0.000000	221.573276	0.000939	0.8
27	-0.101518	0.000000	221.573276	0.001201	0.8
28	-0.099957	0.000000	221.573276	0.000735	0.8
29	-0.109050	0.000000	221.573276	0.000975	0.8
30	-0.101832	0.000000	221.573276	0.001047	0.8
31	-0.105975	0.000000	221.573276	0.001226	0.8
32	-0.104181	0.656637	214.855091	0.001788	1.0
33	-0.110795	0.201901	219.463286	0.000900	1.0
34	-0.096099	0.000000	221.573276	0.001147	0.9
35	-0.103264	0.000000	221.573276	0.001855	1.0
36	-0.102694	0.000000	221.573276	0.001265	0.8
37	-0.107749	0.000000	221.573276	0.001518	0.8
38	-0.114662	0.000000	221.573276	0.001271	0.8
39	-0.095921	0.000000	221.573276	0.001992	0.8
40	-0.108454	0.000000	221.573276	0.000828	0.8
41	-0.113715	0.000000	221.573276	0.000825	0.8
42	-0.103767	0.000000	221.573276	0.001407	0.8
43	-0.102793	0.000000	221.573276	0.000839	0.8
44	-0.109187	0.000000	221.573276	0.001265	0.8
45	-0.099962	0.000000	221.573276	0.001276	0.8
46	-0.112385	0.000000	221.573276	0.002515	0.8
47	-0.113269	0.000000	221.573276	0.001391	0.9
48	-0.109963	0.000000	221.573276	0.000764	1.0
49	-0.107950	0.000000	221.573276	0.001853	0.8
50	-0.110673	0.000000	221.573276	0.000370	0.8
51	-0.115098	0.000000	221.573276	0.001939	0.8
52	-0.113106	0.000000	221.573276	0.000904	0.9
53	-0.109688	0.000000	221.573276	0.002040	0.8
54	-0.102713	0.000000	221.573276	0.001007	0.8
55	-0.105638	0.000000	221.573276	0.001491	0.8
56	-0.114113	0.000000	221.573276	0.000900	0.8
57	-0.109732	0.000000	221.573276	0.001406	0.8
58	-0.114657	0.000000	221.573276	0.001136	0.8
59	-0.114438	0.000000	221.573276	0.001309	0.8
60	-0.104102	0.000000	221.573276	0.001350	1.0
61	-0.114400	0.000000	221.573276	0.000984	0.9
62	-0.117315	0.000000	221.573276	0.000943	1.4
63	-0.109105	0.000000	221.573276	0.001610	0.8
64	-0.118022	0.000000	221.573276	0.001570	0.9
65	-0.117807	0.000000	221.573276	0.001604	0.8
66	-0.120924	0.000000	221.573276	0.001776	0.9
67	-0.115012	0.000000	221.573276	0.001073	0.8
68	-0.119884	0.000000	221.573276	0.001780	0.8
69	-0.104874	0.000000	221.573276	0.001311	0.8
70	-0.112625	0.000000	221.573276	0.001927	0.8
71	-0.116328	0.000000	221.573276	0.001960	0.8
72	-0.117702	0.000000	221.573276	0.000656	0.8
73	-0.117563	0.000000	221.573276	0.001970	0.8
74	-0.119582	0.000000	221.573276	0.001251	0.8
75	-0.121190	0.000000	221.573276	0.002380	0.8
76	-0.129600	0.000000	221.573276	0.001644	1.0
77	-0.111139	0.000000	221.573276	0.001313	1.0
78	-0.120180	0.000000	221.573276	0.001644	0.9
79	-0.130259	0.000000	221.573276	0.002182	0.9
