1:ItNr	2:Metric	3a:Time	3b:StepSize	4:||Gradient||	Time[ms]
0	-0.669840	0.000000	204.127042	0.004722	16.4
1	-0.689426	0.000000	204.127042	0.002885	1.1
2	-0.689627	0.000000	204.127042	0.005656	0.9
3	-0.681089	0.000000	204.127042	0.004514	1.1
4	-0.671678	0.000000	204.127042	0.006304	0.9
5	-0.679943	0.368183	200.609849	0.003926	1.0
6	-0.671241	0.000000	204.127042	0.005558	1.1
7	-0.676423	0.000000	204.127042	0.004576	1.0
8	-0.674159	0.990088	194.936368	0.004590	0.9
9	-0.670674	0.399224	200.318844	0.004328	0.9
10	-0.695306	0.000000	204.127042	0.004709	1.0
11	-0.689345	0.000000	204.127042	0.005580	1.1
12	-0.692616	0.419100	200.132965	0.004840	1.1
13	-0.694504	1.418040	191.215103	0.004327	0.9
14	-0.674659	2.361221	183.495026	0.005140	1.0
15	-0.674888	3.358965	175.979062	0.004442	1.0
16	-0.686615	2.768133	180.353581	0.004889	1.0
17	-0.694342	3.609292	174.188997	0.004432	1.1
18	-0.685844	4.608569	167.391933	0.004729	1.2
19	-0.687705	5.079624	164.368472	0.005053	1.2
20	-0.684965	4.517010	167.992559	0.003411	0.9
21	-0.691457	4.034150	171.232810	0.004424	0.9
22	-0.691845	3.932998	171.927493	0.004292	0.9
23	-0.689925	3.342397	176.098840	0.004723	0.9
24	-0.702287	3.662560	173.812769	0.005773	1.0
25	-0.685373	3.071696	178.079179	0.005095	1.0
26	-0.695750	4.049502	171.127866	0.004343	0.9
27	-0.711965	3.458685	175.261584	0.004213	0.9
28	-0.688121	2.867823	179.600292	0.005515	0.9
29	-0.697428	3.797096	172.869756	0.005744	0.9
30	-0.693456	4.797059	166.168858	0.003562	1.0
31	-0.693475	4.207038	170.058371	0.006620	1.0
32	-0.688344	5.196984	163.632114	0.005218	1.1
33	-0.701254	6.196984	157.615563	0.005723	1.6
34	-0.701470	7.194509	152.039105	0.004487	1.1
35	-0.686489	8.190691	146.850513	0.004056	0.9
36	-0.706419	8.461138	145.502454	0.003979	0.9
37	-0.679109	7.896453	148.345817	0.003626	1.1
38	-0.703167	7.345927	151.226943	0.004357	1.2
39	-0.690821	6.889552	153.701570	0.003320	0.9
40	-0.704232	6.437830	156.232028	0.004786	1.0
41	-0.676999	5.851204	159.645274	0.004159	0.9
42	-0.706453	5.334882	162.775282	0.004250	1.0
43	-0.689345	6.274709	157.166404	0.005033	1.0
44	-0.703407	5.883177	159.455405	0.006779	1.0
45	-0.696288	6.883177	153.736709	0.005720	1.0
46	-0.703404	7.883177	148.414001	0.005677	0.9
47	-0.713096	8.719174	144.239132	0.004225	1.1
48	-0.702427	8.604842	144.796174	0.004268	0.8
49	-0.693289	9.575751	140.198288	0.002999	0.9
50	-0.697639	8.985854	142.956340	0.005219	1.0
51	-0.710334	8.395017	145.829744	0.005844	1.1
52	-0.689917	8.007842	147.776175	0.003051	0.9
53	-0.706240	7.417477	150.846183	0.004463	0.9
54	-0.688456	7.024638	152.960687	0.005269	0.9
55	-0.702260	7.942516	148.109719	0.005041	1.1
56	-0.702388	7.351656	151.196386	0.005556	1.0
57	-0.710423	8.351653	146.045195	0.003398	1.1
58	-0.712687	7.800257	148.841305	0.003537	0.9
59	-0.707233	8.252786	146.538793	0.005405	1.1
60	-0.701687	7.662382	149.557279	0.005855	1.0
61	-0.710053	8.067122	147.474794	0.004603	0.9
62	-0.697609	9.064552	142.582130	0.005459	0.9
63	-0.706075	8.473688	145.440499	0.005527	0.9
64	-0.701729	7.883661	148.411517	0.003588	1.0
65	-0.710532	8.882233	143.452060	0.003054	1.0
66	-0.706592	8.632978	144.658693	0.003863	1.0
67	-0.702529	8.884021	143.443477	0.004946	1.0
68	-0.701580	9.663867	139.795409	0.003940	0.9
69	-0.703212	10.376754	136.619229	0.003292	1.0
70	-0.711279	10.219287	137.308321	0.005525	1.0
71	-0.712794	11.212835	133.073286	0.004341	1.1
72	-0.714559	10.621990	135.559713	0.006459	1.0
73	-0.718068	10.897295	134.389700	0.004395	1.1
74	-0.719242	10.879919	134.462946	0.005239	1.1
75	-0.699750	10.545974	135.886370	0.004220	0.9
76	-0.723621	9.983526	138.353135	0.005725	1.0
77	-0.707430	10.980427	134.040358	0.004264	1.0
78	-0.697218	10.389931	136.561877	0.004279	1.1
79	-0.716782	11.251849	132.912315	0.004371	1.0
80	-0.710489	12.248719	128.927308	0.004019	0.9
81	-0.703303	11.701312	131.085500	0.004156	0.9
82	-0.701097	11.110649	133.496769	0.003112	0.8
83	-0.709411	11.472187	132.010448	0.004196	0.8
84	-0.707987	11.449786	132.101577	0.004563	1.0
85	-0.695588	12.434279	128.211765	0.005941	1.1
86	-0.694505	11.843417	130.518328	0.003227	1.0
87	-0.701931	11.497468	131.907752	0.005403	1.0
88	-0.721990	11.432796	132.170777	0.004111	0.9
89	-0.713673	10.841966	134.623215	0.004182	0.9
90	-0.719613	11.810164	130.650608	0.005111	1.0
91	-0.706541	11.346934	132.521615	0.004695	1.0
92	-0.724970	10.756069	134.987361	0.005204	1.0
93	-0.718150	11.756067	130.866380	0.005711	0.9
94	-0.711404	11.165204	133.270346	0.004410	1.0
95	-0.725802	12.102465	129.496940	0.004845	1.0
96	-0.713010	11.517114	131.828053	0.004482	1.1
97	-0.703632	11.540556	131.733085	0.004785	1.0
98	-0.716843	11.626557	131.385850	0.003871	1.1
99	-0.716557	11.686303	131.145695	0.003951	1.2
100	-0.702934	11.465230	132.038734	0.005325	0.9
101	-0.716997	10.874365	134.486377	0.004805	0.9
102	-0.716797	11.874318	130.395645	0.004334	0.9
103	-0.705278	11.283680	132.781266	0.004372	0.9
104	-0.719217	10.931131	134.247294	0.005087	0.9
105	-0.707706	10.831926	134.665679	0.003721	1.0
106	-0.713145	11.807226	130.662309	0.005899	0.9
107	-0.718585	11.700234	131.089822	0.005779	0.9
108	-0.700922	11.117353	133.468903	0.004455	0.9
109	-0.707122	12.060773	129.660243	0.006245	1.0
110	-0.725315	13.060764	125.853546	0.003545	1.0
111	-0.720543	12.477222	128.047301	0.004512	1.0
112	-0.708788	13.212529	125.295264	0.006034	1.0
113	-0.717675	13.933285	122.710128	0.004854	1.1
114	-0.716844	13.342471	124.821184	0.004068	1.2
115	-0.719460	13.679545	123.607963	0.006665	1.0
116	-0.720571	13.088731	125.750292	0.004460	1.0
117	-0.695301	14.084224	122.182206	0.004393	0.9
118	-0.699671	13.513684	124.201979	0.004694	0.9
119	-0.711849	14.513603	120.704957	0.005216	1.0
120	-0.725644	15.410057	117.733074	0.004022	1.0
121	-0.715091	14.819646	119.673651	0.004258	1.0
122	-0.720392	15.566898	117.228096	0.003346	1.1
123	-0.728297	15.124570	118.663500	0.005101	1.0
124	-0.720084	14.751553	119.901584	0.005417	0.9
125	-0.726452	15.750555	116.642262	0.004015	0.8
126	-0.726395	15.212056	118.376816	0.005919	0.9
127	-0.721502	16.207991	115.208261	0.005535	1.0
128	-0.707095	17.207856	112.193363	0.003570	0.9
129	-0.712111	18.193198	109.372752	0.005275	0.9
130	-0.712317	17.630600	110.965605	0.003600	1.0
131	-0.721021	18.591218	108.273201	0.003842	0.9
132	-0.714047	18.047611	109.780542	0.003767	1.0
133	-0.722814	17.458430	111.462373	0.003809	1.0
134	-0.735856	18.437231	108.695965	0.004334	0.9
135	-0.711216	19.360820	106.208642	0.004099	1.0
136	-0.704729	18.770189	107.785958	0.003348	1.0
137	-0.706568	18.197730	109.360105	0.006062	1.0
138	-0.717378	17.810271	110.451892	0.003006	1.0
139	-0.715586	17.445638	111.499461	0.004231	1.0
140	-0.713811	17.021030	112.744653	0.003987	0.9
141	-0.716894	16.438089	114.500178	0.005362	1.1
142	-0.727043	15.905093	116.153829	0.003875	1.0
143	-0.712657	15.721532	116.734450	0.004463	0.9
144	-0.722626	15.130676	118.643444	0.005312	0.9
145	-0.710687	16.130673	115.448159	0.003888	1.0
146	-0.715688	17.130663	112.420490	0.008156	1.0
147	-0.728548	18.130663	109.547539	0.005332	1.1
148	-0.726025	19.130663	106.817768	0.003641	0.9
149	-0.713911	19.865617	104.896688	0.005179	0.9
150	-0.705758	20.865519	102.391372	0.005474	1.1
151	-0.725657	21.865519	100.002707	0.003344	1.1
152	-0.726724	21.274935	101.399752	0.005237	0.9
153	-0.725075	22.274628	99.057301	0.004139	0.9
154	-0.700610	23.198470	96.986794	0.004350	1.2
155	-0.713861	22.607632	98.300863	0.004640	1.0
156	-0.730306	23.517262	96.292262	0.003176	1.2
157	-0.721589	24.501657	94.209049	0.004923	1.1
158	-0.721970	23.910813	95.448459	0.004103	0.9
159	-0.730732	24.823649	93.547066	0.003342	0.9
160	-0.717700	24.262537	94.706753	0.005767	0.8
161	-0.710062	23.978237	95.305379	0.004167	1.1
162	-0.717843	23.387372	96.574041	0.007462	1.0
163	-0.719295	24.381687	94.458099	0.005028	1.0
164	-0.723235	25.351467	92.481817	0.006583	0.8
165	-0.726409	24.763292	93.670444	0.006560	0.8
166	-0.732567	25.763292	91.667368	0.005328	0.8
167	-0.722561	25.172462	92.840358	0.004644	1.0
168	-0.725207	24.581608	94.043805	0.003418	1.1
169	-0.720689	25.178543	92.828133	0.004867	1.0
170	-0.726165	25.614670	91.959631	0.002804	1.0
171	-0.713500	26.583577	90.087130	0.003707	0.9
172	-0.712323	26.160851	90.894625	0.004812	0.9
173	-0.722596	27.160606	89.007765	0.005642	1.1
174	-0.724328	28.137126	87.238881	0.003309	1.1
175	-0.715834	29.134987	85.502523	0.002839	0.8
176	-0.725440	29.788886	84.401691	0.003832	0.9
177	-0.717764	29.267682	85.276816	0.003027	0.9
178	-0.723631	28.994789	85.742293	0.006842	1.0
179	-0.730348	28.410160	86.756810	0.005046	0.9
180	-0.740904	27.823922	87.798516	0.004170	0.8
181	-0.734879	28.743569	86.175318	0.005288	0.8
182	-0.722492	28.194614	87.136935	0.003763	1.0
183	-0.740797	27.606026	88.192108	0.003209	1.2
184	-0.726354	27.269741	88.806522	0.002772	1.0
185	-0.724581	27.687669	88.044221	0.003563	1.0
186	-0.721495	27.129698	89.064923	0.002684	0.8
187	-0.717317	26.698182	89.870676	0.004436	0.8
188	-0.723302	26.542041	90.165836	0.003779	1.0
189	-0.734756	27.455850	88.465436	0.005432	1.1
190	-0.732814	26.982387	89.338363	0.003594	0.9
191	-0.718819	26.393594	90.448256	0.006340	0.9
192	-0.721456	27.393153	88.580050	0.005436	1.1
193	-0.718237	28.392985	86.786978	0.005786	1.2
194	-0.723313	27.848371	87.754571	0.004015	0.9
195	-0.728860	27.260264	88.823963	0.005285	0.8
196	-0.723909	26.710884	89.846750	0.004479	1.1
197	-0.721426	27.702981	88.016540	0.003293	1.0
198	-0.732844	27.316794	88.720039	0.003571	0.9
199	-0.729446	27.844800	87.760987	0.005781	0.9
200	-0.718713	27.364117	88.633229	0.006401	1.1
201	-0.733977	28.364117	86.837730	0.003143	0.9
202	-0.720049	28.048393	87.396703	0.004212	0.9
203	-0.733029	29.027018	85.687056	0.004334	1.0
204	-0.748860	28.436287	86.710960	0.003361	1.5
205	-0.735289	27.949269	87.573686	0.004517	1.0
206	-0.736198	27.452448	88.471647	0.003533	0.8
207	-0.741862	28.205714	87.117279	0.004886	1.1
208	-0.723198	27.615301	88.175283	0.005682	1.0
209	-0.730000	28.615255	86.398183	0.005399	1.0
210	-0.737620	28.024390	87.439495	0.004201	0.9
211	-0.715732	28.387441	86.796720	0.002865	0.9
212	-0.729181	29.384649	85.078847	0.004082	0.8
213	-0.718919	28.804404	86.070057	0.003428	0.8
214	-0.734910	28.219007	87.093750	0.004489	0.9
215	-0.729487	29.218631	85.360110	0.003534	0.9
216	-0.737611	28.794973	86.086358	0.005200	1.1
217	-0.714070	28.204924	87.118676	0.003730	1.1
218	-0.727021	27.645589	88.120382	0.003166	0.8
219	-0.739605	27.893923	87.672815	0.002708	0.8
220	-0.734368	27.339016	88.679254	0.004832	0.9
221	-0.730533	27.196959	88.940629	0.007570	0.9
222	-0.732938	27.988164	87.504154	0.004479	0.9
223	-0.722689	28.237681	87.060719	0.003566	0.8
224	-0.725189	29.222963	85.352748	0.004343	0.8
225	-0.733980	28.663251	86.314685	0.004315	0.9
226	-0.726756	28.081747	87.337313	0.004280	0.9
227	-0.726544	29.079086	85.597966	0.003616	1.0
228	-0.738452	30.069820	83.937400	0.003312	0.9
229	-0.736940	29.479638	84.918752	0.004415	0.9
230	-0.732825	29.040126	85.664611	0.005040	1.0
231	-0.730913	28.467659	86.655968	0.002672	1.1
232	-0.733994	27.880556	87.696790	0.003380	0.8
233	-0.730437	27.335083	88.686469	0.004868	0.8
234	-0.728148	28.304700	86.942378	0.003734	1.0
235	-0.717073	29.222006	85.354374	0.006254	1.1
236	-0.736960	28.632218	86.368654	0.004429	1.0
237	-0.739775	28.041386	87.409192	0.003468	0.9
238	-0.715034	28.852795	85.986510	0.002935	0.9
239	-0.738402	28.421271	86.737306	0.003607	1.1
240	-0.729591	28.074598	87.350036	0.005585	1.1
241	-0.729489	29.074008	85.606645	0.005401	1.0
242	-0.725915	30.073998	83.930533	0.003008	0.9
243	-0.729358	29.483334	84.912536	0.004712	1.0
244	-0.716997	28.893966	85.915557	0.004061	1.0
245	-0.745271	29.871975	84.263838	0.003124	0.8
246	-0.735645	29.605638	84.707318	0.003153	0.8
247	-0.730143	29.648354	84.635878	0.005768	1.2
248	-0.735622	29.057864	85.634255	0.004097	1.1
249	-0.729274	29.967624	84.105704	0.002970	0.9
250	-0.735414	30.193738	83.734223	0.004366	0.8
251	-0.714359	31.113395	82.256546	0.004311	0.8
252	-0.721891	30.527628	83.191641	0.005071	1.0
253	-0.735005	30.976099	82.473828	0.004837	1.3
254	-0.736087	30.615729	83.049644	0.004231	0.9
255	-0.733952	30.058669	83.955730	0.004259	0.9
256	-0.739651	29.467806	84.938661	0.005436	1.1
257	-0.735113	29.025394	85.689838	0.003448	1.0
258	-0.741230	29.459902	84.951965	0.003666	0.8
259	-0.735190	29.150166	85.476643	0.005935	0.9
260	-0.736177	29.700724	84.548455	0.005167	1.0
261	-0.730695	30.700706	82.913141	0.004279	1.0
262	-0.724791	30.306674	83.549909	0.003957	1.0
263	-0.712293	29.734889	84.491520	0.003371	0.9
264	-0.718279	29.819043	84.351606	0.003471	0.8
265	-0.743945	29.234268	85.333539	0.004046	0.9
266	-0.730631	30.190949	83.738785	0.003638	1.0
267	-0.726169	31.144228	82.207908	0.002679	1.2
268	-0.735479	31.015123	82.411953	0.004547	0.9
269	-0.732749	30.431160	83.347681	0.003770	0.9
270	-0.724020	31.278529	81.996719	0.003561	1.0
271	-0.724960	31.132802	82.225925	0.003787	1.1
272	-0.732506	30.687314	82.934623	0.004566	0.8
273	-0.730397	30.096694	83.893254	0.004561	0.9
274	-0.746160	29.506504	84.873582	0.003982	1.5
275	-0.733820	30.395474	83.405552	0.002951	0.9
276	-0.735085	29.968746	84.103852	0.004223	1.0
277	-0.730462	29.386351	85.075974	0.004684	1.0
278	-0.750704	28.797373	86.082209	0.004715	1.0
279	-0.725942	28.219176	87.093451	0.005322	1.0
280	-0.728960	28.680852	86.284106	0.006335	1.0
281	-0.739067	28.096882	87.310390	0.004684	1.1
282	-0.746377	29.095818	85.569376	0.004595	0.9
283	-0.747927	30.022693	84.014929	0.004002	0.8
284	-0.730052	29.580033	84.750200	0.004862	0.8
285	-0.732719	29.115166	85.536340	0.005170	0.8
286	-0.724444	28.524301	86.556858	0.003718	0.8
287	-0.746775	27.946552	87.578546	0.003692	0.9
288	-0.745307	27.357681	88.645026	0.004202	0.9
289	-0.736764	28.184768	87.154378	0.004290	0.8
290	-0.744050	28.879365	85.940707	0.003913	0.9
291	-0.738143	28.290835	86.966834	0.005039	0.8
292	-0.733845	27.725863	87.975208	0.002811	0.8
293	-0.738387	27.873714	87.709068	0.003854	0.9
294	-0.742580	27.287451	88.773952	0.005131	0.8
295	-0.750290	26.821990	89.638008	0.006099	0.8
296	-0.728526	27.821988	87.801994	0.004889	1.0
297	-0.740497	27.231150	88.877580	0.007363	0.9
298	-0.721298	28.229995	87.074310	0.004372	1.0
299	-0.730999	29.229995	85.340798	0.002783	0.9
300	-0.732857	28.648851	86.339720	0.006304	0.9
301	-0.723618	29.474148	84.927989	0.003863	1.0
302	-0.745415	28.883291	85.933942	0.004654	1.2
303	-0.730772	29.881007	84.248881	0.003510	1.2
304	-0.735649	29.353875	85.130845	0.003977	0.8
305	-0.748763	29.598988	84.718451	0.006511	0.9
306	-0.732396	30.324968	83.520128	0.003288	0.9
307	-0.738899	29.912110	84.197412	0.004548	1.0
308	-0.730918	30.907711	82.582487	0.003432	1.0
309	-0.732430	30.840704	82.689230	0.004273	0.8
310	-0.739309	30.642562	83.006492	0.005258	1.1
311	-0.730183	30.300293	83.560300	0.003257	0.9
312	-0.754168	30.635718	83.017494	0.005881	0.9
313	-0.737805	30.053253	83.964637	0.004681	1.1
314	-0.761008	31.052477	82.352813	0.005379	1.1
315	-0.758254	30.461612	83.298360	0.003785	1.0
316	-0.747951	31.436861	81.749132	0.004229	1.0
317	-0.738109	30.850781	82.673159	0.003010	0.9
318	-0.757358	30.298437	83.563323	0.005296	0.9
319	-0.747752	31.294871	81.971096	0.005371	1.0
320	-0.745170	30.704303	82.907371	0.006011	1.1
321	-0.738698	30.880749	82.625404	0.004567	1.0
322	-0.748138	31.635248	81.441013	0.003429	0.8
323	-0.750524	31.044782	82.364988	0.005509	0.9
324	-0.736954	32.043693	80.813903	0.004386	0.9
325	-0.739878	31.452830	81.724245	0.006796	1.0
326	-0.734657	32.452586	80.195706	0.004207	0.9
327	-0.743176	31.886583	81.053977	0.003896	0.9
328	-0.746705	32.424790	80.237431	0.004194	1.1
329	-0.743925	31.835053	81.133029	0.004146	1.0
330	-0.746425	32.829658	79.633943	0.004916	0.9
331	-0.758639	32.291878	80.437546	0.004625	0.9
332	-0.739133	32.538640	80.066806	0.004076	1.0
333	-0.756237	33.532942	78.606943	0.004000	1.0
334	-0.751576	34.299482	77.517325	0.004227	0.9
335	-0.741422	34.970368	76.588167	0.005443	1.1
336	-0.733117	34.380978	77.403253	0.004043	1.1
337	-0.750334	33.897199	78.085366	0.004124	0.9
338	-0.751544	33.307635	78.933061	0.006171	1.0
339	-0.752939	32.718057	79.799384	0.004306	1.0
340	-0.751314	33.717802	78.341375	0.004917	0.8
341	-0.730091	33.139877	79.177643	0.003319	0.9
342	-0.750487	32.554237	80.043488	0.005064	0.9
343	-0.727126	33.546152	78.587906	0.004884	1.1
344	-0.753565	32.955358	79.448418	0.004467	1.0
345	-0.750839	32.442595	80.210698	0.007622	1.1
346	-0.754250	31.851730	81.107428	0.003505	1.0
347	-0.743790	31.472512	81.693590	0.004782	0.9
348	-0.736992	30.885745	82.617449	0.005549	0.8
349	-0.741635	30.294883	83.569113	0.003564	1.0
350	-0.745461	29.748123	84.469486	0.005085	1.1
351	-0.748447	29.159995	85.459895	0.004218	0.9
352	-0.748935	28.569132	86.478575	0.004218	1.0
353	-0.743461	28.749442	86.165145	0.004012	1.1
354	-0.743490	28.202382	87.123178	0.006006	1.0
355	-0.743328	29.201254	85.389658	0.004490	0.9
356	-0.754410	28.709517	86.234351	0.004190	0.9
357	-0.737554	29.682201	84.579355	0.005545	1.1
358	-0.741603	29.925852	84.174692	0.003171	1.0
359	-0.747694	29.336079	85.160942	0.003870	0.8
360	-0.754770	29.506511	84.873570	0.004205	1.0
361	-0.745444	28.915946	85.877725	0.003359	1.0
362	-0.762566	28.332504	86.893377	0.005246	1.0
363	-0.744429	27.972693	87.531799	0.004185	0.8
364	-0.752572	27.381828	88.600784	0.003206	0.9
365	-0.741508	27.738855	87.951756	0.003878	1.2
366	-0.753376	27.181350	88.969443	0.004119	1.0
367	-0.749745	26.598708	90.058492	0.006995	0.9
368	-0.749559	26.007845	91.190479	0.004768	0.9
369	-0.738933	27.007842	89.290992	0.003403	1.0
370	-0.756140	26.540978	90.167852	0.004210	0.9
371	-0.744210	25.950156	91.302527	0.005590	1.0
372	-0.757725	25.359734	92.465326	0.003983	1.0
373	-0.742375	24.770211	93.656285	0.005323	0.9
374	-0.758871	25.765827	91.662399	0.004155	1.1
375	-0.744640	26.693382	89.879721	0.005033	1.0
376	-0.748752	27.692274	88.035895	0.003885	1.1
377	-0.754421	27.123672	89.076075	0.004213	0.9
378	-0.754989	27.630650	88.147451	0.004743	0.9
379	-0.753196	27.764140	87.906151	0.006139	1.6
380	-0.754939	27.847312	87.756474	0.004641	1.1
381	-0.758717	28.845627	85.998876	0.003094	0.9
382	-0.747508	28.473812	86.645191	0.004667	0.9
383	-0.750601	27.900003	87.661915	0.003771	0.8
384	-0.745039	28.374996	86.818597	0.005606	1.1
385	-0.749669	27.840614	87.768509	0.003651	0.9
386	-0.751191	28.799766	86.078072	0.006456	0.8
387	-0.765006	29.463590	84.945757	0.003794	1.0
388	-0.745783	30.279448	83.594267	0.004524	1.1
389	-0.746587	29.688653	84.568589	0.004242	0.8
390	-0.749546	30.543393	83.166196	0.005103	0.9
391	-0.745141	29.952529	84.130620	0.004978	1.1
392	-0.740174	30.951969	82.512134	0.006601	1.0
393	-0.759245	31.754154	81.257448	0.003866	0.9
394	-0.754462	32.421262	80.242729	0.003246	0.9
395	-0.773527	32.326248	80.385702	0.003713	0.8
396	-0.748468	31.793817	81.196400	0.004517	0.9
397	-0.750820	31.217156	82.093093	0.004477	0.9
398	-0.759652	30.696201	82.920366	0.003831	0.9
399	-0.762423	31.517963	81.622890	0.003244	1.0
400	-0.746333	30.946990	82.520044	0.004814	1.2
401	-0.759436	31.818410	81.158594	0.004174	1.1
402	-0.752555	31.229661	82.073438	0.003790	0.9
403	-0.762934	30.638810	83.012523	0.002677	0.9
404	-0.744663	30.084959	83.912524	0.004798	1.0
405	-0.757055	29.549714	84.801031	0.003606	0.8
406	-0.759289	28.960732	85.800742	0.004031	1.0
407	-0.754080	28.693485	86.262170	0.005190	1.0
408	-0.741759	29.693453	84.560582	0.003813	1.3
409	-0.767625	30.691285	82.928251	0.003567	0.9
410	-0.758215	30.110900	83.869935	0.006873	1.0
411	-0.769816	29.636275	84.656067	0.006160	0.8
412	-0.769576	30.636275	83.016598	0.005144	0.8
413	-0.756109	30.053138	83.964826	0.004074	1.5
414	-0.769071	29.462377	84.947799	0.004305	1.0
415	-0.766916	30.445753	83.324038	0.005493	0.9
416	-0.756691	31.445742	81.735289	0.003719	0.8
417	-0.745120	30.854903	82.666587	0.004221	0.8
418	-0.771454	30.273464	83.604023	0.004189	1.0
419	-0.770102	30.743661	82.844310	0.005221	1.0
420	-0.762158	30.350326	83.478883	0.004931	1.0
421	-0.765389	29.763241	84.444331	0.004121	1.0
422	-0.766299	30.750785	82.832906	0.003172	1.1
423	-0.768012	30.309980	83.544524	0.004024	0.8
424	-0.751875	29.719666	84.516879	0.006503	0.9
425	-0.772343	30.719059	82.883717	0.003264	1.1
426	-0.755247	31.110857	82.260552	0.005239	1.0
427	-0.760314	30.520280	83.203505	0.004479	1.0
428	-0.773381	30.356163	83.469396	0.003538	0.8
429	-0.762768	31.296628	81.968342	0.004305	0.8
430	-0.770854	31.835571	81.132233	0.006001	1.0
431	-0.765025	31.248499	82.043848	0.003710	1.0
432	-0.763415	32.247146	80.505120	0.003072	1.1
433	-0.766051	31.658622	81.404863	0.004740	0.8
434	-0.760977	31.068136	82.328046	0.004469	0.9
435	-0.773809	30.606056	83.065210	0.006793	1.1
436	-0.759746	30.015966	84.026007	0.005049	0.9
437	-0.766042	29.425158	85.010500	0.004190	1.0
438	-0.761880	30.418214	83.368665	0.004738	1.2
439	-0.764966	29.856205	84.289967	0.006057	0.9
440	-0.762001	29.334485	85.163638	0.003939	0.9
441	-0.755409	28.743655	86.175168	0.004573	1.0
442	-0.754177	29.724694	84.508502	0.003827	1.1
443	-0.765758	30.719978	82.882245	0.005000	1.1
444	-0.759623	30.139201	83.823520	0.005184	0.9
445	-0.771395	30.341218	83.493693	0.005391	0.9
446	-0.770730	31.315666	81.938513	0.003761	1.0
447	-0.764151	32.276943	80.460095	0.003309	0.9
448	-0.765416	31.693076	81.351635	0.003816	1.0
449	-0.760259	31.354299	81.878049	0.005308	1.1
450	-0.756142	32.314792	80.402975	0.003382	1.0
451	-0.774231	31.724598	81.302998	0.005543	0.9
452	-0.784069	32.719835	79.796744	0.004271	1.0
453	-0.758209	33.685636	78.387457	0.005628	1.1
454	-0.759584	33.095800	79.242157	0.003990	0.9
455	-0.768162	34.094129	77.806256	0.003609	0.9
456	-0.764852	33.504272	78.648292	0.003971	1.1
457	-0.765861	32.914954	79.507957	0.003972	1.0
458	-0.773554	33.883928	78.104247	0.006088	0.9
459	-0.781507	34.876870	76.716321	0.003469	0.8
460	-0.776751	35.784702	75.489837	0.005618	1.1
461	-0.756540	35.210498	76.260985	0.004510	1.0
462	-0.768784	36.208423	74.930713	0.003989	1.0
463	-0.767771	35.654866	75.662837	0.003967	1.0
464	-0.772920	35.064197	76.459989	0.004231	1.0
465	-0.779369	34.498668	77.239113	0.004189	0.8
466	-0.766262	33.924135	78.047071	0.003978	0.8
467	-0.777358	34.789146	76.836951	0.003042	1.1
468	-0.774634	35.353418	76.067576	0.004878	1.1
469	-0.768775	34.958691	76.604148	0.003521	1.0
470	-0.782631	34.384805	77.397905	0.004156	0.9
471	-0.775927	33.901180	78.079704	0.005798	0.8
472	-0.759285	33.310509	78.928884	0.005393	1.1
473	-0.774350	34.310509	77.501870	0.004566	1.1
474	-0.754467	35.310371	76.125726	0.007567	1.1
475	-0.764978	36.310371	74.797420	0.006839	0.9
476	-0.769898	37.310371	73.514673	0.003131	1.0
477	-0.775255	38.215143	72.391414	0.008171	1.0
478	-0.766697	37.629856	73.114078	0.006618	1.0
479	-0.770125	38.629856	71.887946	0.002727	0.9
480	-0.777681	39.512895	70.838916	0.004630	0.9
481	-0.774273	39.324612	71.060016	0.003608	1.0
482	-0.779557	39.510625	70.841574	0.005969	1.0
483	-0.782772	40.510541	69.689972	0.003534	0.9
484	-0.769405	39.935493	70.347636	0.005310	1.1
485	-0.763778	39.349276	71.030974	0.002987	0.9
486	-0.776442	40.231089	70.008030	0.002892	0.9
487	-0.774374	39.649938	70.678850	0.004424	1.0
488	-0.767997	40.538067	69.658799	0.003902	1.0
489	-0.781036	41.517073	68.567956	0.003099	1.0
490	-0.761881	41.355506	68.745619	0.003413	1.1
491	-0.773363	41.412619	68.682711	0.004741	1.1
492	-0.771441	40.823767	69.336893	0.004556	1.0
493	-0.770247	41.804488	68.254165	0.003163	1.0
494	-0.780269	42.539189	67.464945	0.004979	1.0
495	-0.768291	41.965936	68.079158	0.003671	0.9
496	-0.768271	42.958026	67.023142	0.004491	1.0
497	-0.764889	42.525110	67.479897	0.005819	0.9
498	-0.788204	42.123110	67.909643	0.004876	1.0
499	-0.779690	43.123094	66.850609	0.003647	1.0
500	-0.773187	43.258291	66.709958	0.004543	0.9
501	-0.772870	42.694394	67.300552	0.003804	0.9
502	-0.781839	42.671137	67.325135	0.004759	1.0
503	-0.785409	42.709077	67.285041	0.005749	1.0
504	-0.770586	43.708761	66.245556	0.004105	1.1
505	-0.778110	43.117908	66.856016	0.003104	1.2
506	-0.787005	43.965198	65.984066	0.004040	0.9
507	-0.773028	44.885055	65.062826	0.004427	0.9
508	-0.788890	44.304201	65.641533	0.003394	1.3
