1:ItNr	2:Metric	3a:Time	3b:StepSize	4:||Gradient||	Time[ms]
2366	-0.709298	113.992105	27.217513	0.004599	0.8
2367	-0.717546	114.992089	27.017375	0.003197	1.0
2368	-0.709042	115.988854	26.820790	0.003758	0.9
2369	-0.723386	115.486820	26.919444	0.001620	1.0
2370	-0.701948	116.078912	26.803170	0.001255	1.0
2371	-0.730148	115.847488	26.848497	0.003035	1.0
2372	-0.732771	116.213551	26.776869	0.002439	0.9
2373	-0.706980	115.752676	26.867111	0.003137	1.0
2374	-0.716931	115.420085	26.932613	0.002321	1.1
2375	-0.717859	116.398053	26.740913	0.002149	0.9
2376	-0.728318	117.300833	26.566357	0.001266	0.9
2377	-0.733123	117.455848	26.536614	0.002044	1.1
2378	-0.717733	117.127703	26.599656	0.004009	1.2
2379	-0.721617	118.092911	26.415073	0.002135	1.0
2380	-0.692944	117.596537	26.509676	0.001987	0.9
2381	-0.716215	118.157495	26.402813	0.001631	0.9
2382	-0.721960	118.212742	26.392335	0.001778	1.0
2383	-0.709813	117.769020	26.476726	0.002119	1.0
2384	-0.704508	117.318003	26.563060	0.001341	1.1
2385	-0.712027	117.126888	26.599813	0.001686	0.9
2386	-0.723878	117.541422	26.520223	0.002308	0.9
2387	-0.730034	117.104793	26.604068	0.001896	0.9
2388	-0.713244	116.818598	26.659314	0.001789	0.8
2389	-0.718500	116.720745	26.678256	0.001311	0.9
2390	-0.731986	116.478652	26.725235	0.002387	1.1
2391	-0.724444	116.614594	26.698835	0.003608	1.1
2392	-0.720964	117.399950	26.547331	0.001580	0.9
2393	-0.722741	117.396192	26.548052	0.002581	0.8
2394	-0.729935	116.975194	26.629057	0.002040	1.1
2395	-0.738392	116.845192	26.654171	0.001210	1.2
2396	-0.705654	116.807121	26.661535	0.002836	0.9
2397	-0.731995	116.396959	26.741126	0.001787	0.9
2398	-0.707788	115.937945	26.830762	0.003159	1.1
2399	-0.727896	115.439670	26.928747	0.001830	1.0
