1:ItNr	2:Metric	3a:Time	3b:StepSize	4:||Gradient||	Time[ms]
0	-0.732029	0.000000	340.307912	0.008173	25.0
1	-0.728229	0.000000	340.307912	0.009113	1.0
2	-0.739581	1.000000	324.839371	0.010360	1.1
3	-0.735396	2.000000	310.715920	0.007050	1.0
4	-0.737257	2.743574	300.985278	0.009649	0.9
5	-0.726090	3.743570	288.821139	0.008942	1.0
6	-0.743362	4.743570	277.601982	0.010493	1.0
7	-0.753592	5.743570	267.221843	0.009975	1.0
8	-0.756214	6.743570	257.589997	0.008152	1.1
9	-0.758750	7.743570	248.628340	0.009235	1.0
10	-0.754908	8.742760	240.275824	0.010741	1.0
11	-0.759974	9.742760	232.460136	0.011507	1.1
12	-0.762053	10.742760	225.136887	0.008928	0.9
13	-0.747914	11.742760	218.260958	0.011538	1.1
14	-0.752653	12.742760	211.792579	0.007111	0.9
15	-0.763747	13.742760	205.696558	0.007498	0.9
16	-0.759004	14.739267	199.961187	0.008656	1.0
17	-0.766851	15.739267	194.518476	0.007463	1.0
18	-0.767004	16.739267	189.364204	0.010447	0.9
19	-0.758620	17.739266	184.476033	0.007649	0.9
20	-0.760977	18.739266	179.833873	0.009902	0.8
21	-0.776777	19.739025	175.420647	0.009718	0.9
22	-0.746999	20.739025	171.217851	0.009837	1.0
23	-0.761444	21.739025	167.211726	0.009718	1.0
24	-0.761028	22.739025	163.388785	0.010961	1.1
25	-0.761066	23.739025	159.736743	0.012710	1.2
26	-0.762114	24.739025	156.244392	0.014640	1.2
27	-0.745165	25.739025	152.901481	0.008737	1.2
28	-0.764484	26.739025	149.698620	0.006577	1.0
29	-0.768044	26.258462	151.220880	0.007957	1.1
30	-0.777910	27.258462	148.087318	0.008789	1.1
31	-0.768188	28.258462	145.080986	0.007759	0.9
32	-0.762140	29.258462	142.194288	0.006354	1.0
33	-0.768432	30.258448	139.420261	0.009478	1.0
34	-0.770135	31.258448	136.752362	0.008926	1.0
35	-0.762524	32.258448	134.184650	0.010589	1.1
36	-0.781406	33.258448	131.711585	0.008444	1.0
37	-0.784711	34.258448	129.328030	0.008692	1.1
38	-0.783128	35.246108	127.057079	0.011816	1.1
39	-0.777344	36.246108	124.837590	0.008676	1.0
40	-0.765866	37.246108	122.694313	0.008437	1.3
41	-0.759733	38.246108	120.623386	0.009932	1.1
42	-0.769242	37.771576	121.597321	0.008428	1.0
43	-0.763635	38.771576	119.562954	0.008243	1.0
44	-0.782458	39.771576	117.595538	0.009093	1.0
45	-0.779895	40.771576	115.691822	0.006138	0.9
46	-0.790348	41.746115	113.894958	0.007082	1.0
47	-0.778998	41.265567	114.773967	0.008627	1.0
48	-0.778948	42.265543	112.959849	0.006019	1.1
49	-0.784501	43.265542	111.202145	0.008091	1.0
